class,name,author,number,mark,publish_time,extract
历史,征服与革命中的阿拉伯人：1516年至今,尤金·罗根,1043人点评,87.00%,2019年7月,阿拉伯世界的历史是一个关于殖民、战争和抵抗的血腥的故事，也是一个充满创造力的多样、动人的故事。在这部开创性的雅俗共赏的著作中，屡获殊荣的牛津大学历史学家尤金·罗根广泛利用五个世纪的阿拉伯资料，将阿拉伯人的经历放在其关键的历史背景之中，从阿拉伯人自己的视角加以客观呈现。这本具有里程碑意义的著作涵盖了从北非到阿拉伯半岛的整个阿拉伯世界，探索了近现代阿拉伯历史的方方面面。从16世纪奥斯曼帝国的征服开始，到欧洲帝国主义时代、冷战时期的超级大国竞争，再到现在的美国霸权时代，罗根生动描绘了五百年来阿拉伯人身份的演变过程和争取国家主权、实现民族复兴的曲折历程，探究了当今阿拉伯世界诸多困境的历史成因，充满权威睿智的学术洞见。    在世界不少地方，阿拉伯民族的历史、文化和性格常被严重误解。对于任何想要清晰、高效、可靠了解近现代阿拉伯世界的人来说，本书是必不可少的最佳选择。
哲学,论语,孔丘著 陈典译注,7392人点评,86.90%,2016年12月,古人半部《论语》治天下，今人半部《论语》修自身。尽管《论语》只是一些简单的对话，但包含了大量为人处世的大原则、大道理。国学大师南怀瑾先生曾形象地把孔子创始的儒家思想比作“粮食店”。可以说，孔子在《论语》中提出的思想，很多都是我们这个民族乃至全人类的“精神食粮”。《论语》与《大学》《中庸》《孟子》合称为“四书”，是儒家经典著作之一。《论语》首创语录之体，记录了孔子及其弟子们的言行，书中用简洁而又含义隽永的语言，讲述了修身、齐家、治国、平天下的至理名言。
哲学,美学是什么,周宪,185人点评,86.90%,2008年3月,“未名·人文社会科学是什么”丛书由著名院校著名学者倾心撰写，旨在提高国民的人文素质，普及社会科学知识。每种书均包括该学科的产生背景、研究对象、主要代表人物及思想，就学科价值及学科发展到今天的一些前沿问题。此版在版式、文字上做出适当修订，插入80-100幅图片。
历史,论语,孔丘著 陈典译注,7391人点评,86.90%,2016年12月,古人半部《论语》治天下，今人半部《论语》修自身。尽管《论语》只是一些简单的对话，但包含了大量为人处世的大原则、大道理。国学大师南怀瑾先生曾形象地把孔子创始的儒家思想比作“粮食店”。可以说，孔子在《论语》中提出的思想，很多都是我们这个民族乃至全人类的“精神食粮”。《论语》与《大学》《中庸》《孟子》合称为“四书”，是儒家经典著作之一。《论语》首创语录之体，记录了孔子及其弟子们的言行，书中用简洁而又含义隽永的语言，讲述了修身、齐家、治国、平天下的至理名言。
哲学,观呼吸,德宝法师,3358人点评,86.80%,2018年4月,观呼吸，不仅加深对生命本身的认识，还会让心变得稳定、敏锐和专注。在书中，德宝法师开篇就指明禅修的目的，以及常人对禅修的种种误解，然后系统地介绍了如何通过单纯的觉察与呼吸的掌握，达到正念。按照书中一步步的禅修指导，以呼吸为专注的焦点，观看一切身体经验、感受与思想的变化，进而观察你所认知的整个世界，最终以觉醒、智慧的心，安详面对起伏的人生。
历史,灿烂敦煌,樊锦诗 赵声良,352人点评,86.80%,2023年5月,敦煌石窟是闻名世界的佛教文化遗迹，也是古代东方艺术的宝库。季羡林先生认为，敦煌文化的灿烂，正是世界各族文化精粹的融合，也是中华文明几千年源远流长不断融会贯通的典范。著名敦煌学家樊锦诗、赵声良长年身处戈壁，在数十年研究的基础上合作撰写本书，介绍敦煌的历史与文化，解读石窟的塑像与绘画艺术，道出数代敦煌人的坚守与热诚。
历史,国宝来了,马菁菁,608人点评,86.80%,2020年12月,每一件国宝都饱含浓烈情感，它们只是上了些年纪，依然可爱。中国好书获奖作品《山山水水聊聊画画》系列作者、水墨艺术家马菁菁2020年全新作品，二十一件国宝，一部中国人的精神史。给大人看内行的门道，给孩子一流的人文启蒙。
哲学,何为良好生活：行之于途而应于心,陈嘉映,578人点评,86.70%,2015年4月,本书呈现了作者对哲学中与我们生活最切近的伦理学诸问题的深入思考和明晰论述。“我该怎样生活”这个问题不只是人生道路之初的问题，而是贯穿人的一生的问题。这个问题，主要不是选择人生道路的问题，不是选对或选错人生道路的问题，而是行路的问题——知道自己在走什么路，知道这条路该怎么走：我们是否贴切着自己的真实天性行路。在最初“选择人生道路”的时候，没谁一开始通透了解自己的本性，了解周边环境并预见环境的变化。我们一开始不可能通透了解自己的本性，这不在于我们还不够聪明，而在于我们的本性在一开始不够具体，本性有待在盘根错节的实践中向我们逐渐清晰地显现。我们大概可以在这个意义上去理解歌德说他的浮士德是一系列越来越纯粹或纯洁（rein）的努力。我把这个“纯粹”或“纯洁”理解为：自身通透。我以为，这种自身通透是phronesis最核心的含义——洞明自己行在何处，浑然一体地洞明自己和自己所行之路，从而能贴切着自己的真实天性行路，把自己大致保持在天性所指的道路上。
历史,显微镜下的大明,马伯庸,2.2万人点评,86.70%,2019年1月,以案窥大明，一案数载，胜败不定，生死无常 本书讲述的，是六个深藏于故纸堆中的明代基层政治事件。作者从明代的一系列罕见民间档案文书里，挖掘出这些尘封已久的故事。这些档案是中国历史中绝无仅有的奇迹，它们着眼于平民的政治生活，而且记录极为详尽。在这里，我们能看到朴实的百姓诉求、狡黠的民间智慧、肮脏的胥吏手段、微妙的官场均衡之术，从无数个真实的细节里，展现出一幅极其鲜活的政治生态图景。这六个事件聚焦于一府一县乃至一村之内，记录的是最底层平民的真实政治生活：当遭遇税收不公时，他们如何愤起抗争；当家族权益受到损害时，他们如何兴起诉讼；当政治利益与商业利益发生矛盾，他们如何与官府周旋博弈；当朝廷要求整顿户籍，他们又是如何从中造假牟利……《学霸必须死——徽州丝绢案始末》：万历年间，一项不公正的税收政策在徽州府引发了旷日持久的混乱。乱民、县官、州府、户部、首辅、皇帝等诸多利益集团的博弈之局。《笔与灰的抉择——婺源龙脉保卫战》：婺源县一场持续了六十四年的经济争端，反映了一个县级官员，是如何在重大议题上平衡一县之利害的。《谁动了我的祖庙——杨干院律政风云》：歙县一桩民间庙产争夺案。诉讼双方在这场绵延八年的官司中各展所长，用尽心思，上演了一场精彩绝伦的嘉靖法律大戏。《天下透明——大明第一档案库的前世今生》：一个坐落于后湖（玄武湖）中的冷门机构——大明黄册库从建立到衰败的全过程。了解明代的基层统治，是如何一步步垮掉的。《胥吏的盛宴——彭县小吏舞弊案》：一件小到不能再小的官司，却引来了无数贪婪蚊虫的叮咬。胥吏之恶，被刻画得淋漓尽致。《正统年间的四条冤魂》：四个无辜的清白老百姓，是如何裹挟入朝廷斗争的。作者力图以冷静克制的零度叙事，替那些生于尘埃、死于无闻的蝼蚁之辈作传，转述他们湮没于宏达历史中的声音。想要读懂大明，想要读懂中国古代政治，不可只注目于朝堂，亦要听到最底层的呐喊。在一个个普通人的遭遇中，才蕴藏着最真实的规律。
文学,蛙,莫言,1.8万人点评,86.70%,2020年3月,曾经我也对生不生孩子感到困惑，直到在《蛙》里看尽生育的悲喜苦乐！生育繁衍，多么庄严又多么世俗，多么严肃又多么荒唐！诺贝尔文学奖、茅盾文学奖双奖作品，销量超过百万册！ 《蛙》以乡村妇科医生姑姑的故事为线索，写尽了生育的悲喜苦乐和人间百态。 姑姑自继承军医父亲的衣钵以来，在乡村推行新法接生，与愚昧的接生婆斗智斗勇，救下了成千上万的产妇和新生儿，成为东北乡妇女的“守护神”。而随着生育政策的转变，身为计生员的姑姑也开始被乡民避之不及。 生育，堪称中国人的第一大事。在这里，可以看到传统观念与生育政策的冲突，可以看到重男轻女之风，看到无节制生育之苦，看到至今还在讨论的代孕问题，看到生育问题下的众生相。
历史,日本人口述“二战”史,田谷治子 西奥多·F.库克,112人点评,86.50%,2018年1月,直面黑暗，为真实的历史发声，数百位日本战争亲历者首次袒露心扉，公开血腥残酷的战时经历。在“二战”中，日本对亚太地区造成了深重的灾难，创伤延续至今，然而日本官方从未对战争进行过彻底反思。而与之相反，被拖入战争深渊的日本平民，在数十年后回顾那场战争时，用得更多的词是“难以启齿”“不堪直面”……本书堪称一部开创性的口述史，西方著名历史学家西奥多·库克夫妇通过实地走访数百位日本的战争亲历者，参考众多未曾公开的信件、遗嘱、日记、军用笔记、政府档案等，力图重现战争全貌。本书的受访者众多，从外交官到神风特攻队队员、731部队军医、战俘监管员、战犯、侵华士兵，从核弹受害者到记者、学生、“慰安妇”、在华商贩、画家等，他们都从自己的视角讲述了那场隐秘而绝望的梦魇：731部队在华进行活体实验的真相；在中国进行毒气战的具体细节；南京大屠杀屠城惨剧详情；日韩“慰安妇”所受过的屈辱；神风特攻队队员自杀攻击心路；盟军逼近，当局蛊惑百姓互相残杀的细节。这些活生生的个体经历，直观地展现了以侵华战争为开端的战争冲突，是如何给包括日本平民在内的世界百姓带来深重灾难。这部口述历史也反映出日本官方观点与民间记忆的巨大差异。
文学,你当像鸟飞往你的山,塔拉·韦斯特弗,8万人点评,86.50%,2019年11月,奇迹！一部新人处女作，上市第·一周即登上《纽约时报》畅销榜，至今已累计80周，仍高居No.1，全美销量破百万册，作者被《时代周刊》评为“年度影响力人物”。17岁前从未上过学的女孩，如何成为剑桥大学博士？我们要背叛多少曾经，才能找到真正的自我！ 比尔·盖茨年度荐书 No.1
文学,诗经,骆玉明解注 细井徇撰绘,3123人点评,86.50%,2017年12月,韩寒推荐。收录全篇305首，骆玉明解注，203幅细井徇全彩名物图，随文注音，无障碍诵读。
文学,苏轼词集,苏轼著 刘石导读,222人点评,86.50%,2014年1月,东坡词入门导读，概览坡仙风范 苏轼是宋代伟大的现实主义文学家，他以卓越的天才、广博的学识、开朗的胸襟，写出了大量辉煌的诗、文、词，表达了自己一生的真实经历和丰富的思想情感。苏轼词内容广阔，气魄雄伟，语言朴素，一反过去绮罗香泽及离情别绪的局限，是宋词空前的划时代的革新，也是宋词进一步的发展。本书备搜苏轼词全部作品及后人的评论，另外还加以简单的注释和系年，为读者欣赏苏轼词提供了较多的方便。
历史,大屠杀：一部新的历史,劳伦斯·里斯,62人点评,86.40%,2020年4月,劳伦斯·里斯在二十五年的时间里采访了纳粹德国和大屠杀的幸存者和作恶者，并将亲历者的证言与新近的学术研究成果有机地整合进这段影响广泛的历史之中，揭示了这一人类历史上恶名昭著的犯罪是如何进行的。里斯认为，对犹太人的仇恨无疑是纳粹思想的核心，但如果不把纳粹也计划屠杀数百万非犹太人考虑进去，我们就不能充分理解大屠杀的本质。里斯指出，其实并不存在一个大屠杀的总体蓝图，它是一系列恐怖犯罪的不断升级。毋庸置疑，希特勒要为所发生的一切承担主要的罪责，但里斯也提醒我们，罪孽带有普遍性，而其后果也具有持续性，这也是“令人不安和闪烁其词的核心问题”。
历史,门阀|“中古第一家族”琅琊王氏传承千年的成事智慧（独家首发）,南朝,1345人点评,86.40%,"154,696",首部通俗讲述“中古第一家族”琅琊王氏崛起过程的历史作品。琅琊王氏鼎盛300多年，培养了50多个宰相，类似今天市长、省长级别的高官更是不可计数，还有王羲之为代表的100多位文化名人。堪称古代最牛公务员家族。本书以电影般的叙事手法，全景讲述了琅琊王氏的崛起过程，以及他们与颍川庾氏、陈郡谢氏等豪门，以及与王室之间的百年博弈。 成大事者，慢半拍。本书总结提炼了琅琊王氏的家训、家风，发现他们在每次遇到危机的时候都有意慢人半拍。这种深藏九地之下，以静制动，后发制人的大智慧，让他们超越了同时代所有先下手为强的竞争者。 旧时王谢堂前燕，飞入寻常百姓家。这里的“王”指向一个藏在历史深处的家族：琅琊王氏。他们鼎盛300多年，在幕后操纵着一个王朝的兴衰。即使高坐御塌上的皇帝，也只是他们家族的代理人。他们被誉为“中古第一家族”。本书钩沉史料，全景式记录这个家族的崛起之路，并揭示了他们基业长青的关键所在：成大事者，慢半拍。 深藏九地之下，才能蓄积冲天之势 这个家族的奠基人是卧冰求鲤的主角王祥，一千多年来，他被打上愚孝的烙印。但我们不知道的是，孝顺的名气传出去不久，他就被邀请做官。他无意于从低阶幕僚做起，隐居深山，几十年不出。直到名气传遍天下，他才接过曹魏的橄榄枝。甫一出山，就位居九卿。 在别人狂热的时候清醒，才能看清大局 公元307年，八王之乱引发西晋内斗。当其他豪门前仆后继地卷入混战，想要分一杯羹的时候，家族第三代的代表人物王导却冷眼旁观，悄悄把目光投向了一直被忽视的江东，开拓出全新的发展基地。 避其锋锐，寻机而动，才能后发制人 公元318年，靠着王导辅佐才建立东晋的司马睿，登基伊始，就打压琅琊王氏。王导不争不怒，步步退让，直到皇帝的政策伤害到几乎所有豪门的利益时，他才暗示堂兄王敦起兵讨伐，彻底控制王室，开创了门阀时代。
历史,史记（全十二册）,司马迁,562人点评,86.40%,2021年5月,全本全译，文白对照，阅读无障碍！全书采用原文、白话注释的结构体系，注释生动准确，原味细腻，为读者扫清阅读障碍。白话译文忠实原意，通俗流利；生僻字、疑难字加注音、释义，有很高的阅读价值！全本共十二册，汇集知名专家学者，全新编排分段，最大限度的呈现全本面貌，偏偏精华；本纪、十表、八书、世家、列传，原著原版，完整无删减！原文参考多种通行的《史记》版本与校勘著作！新增《报任安书》，比以往版本史记更全面，便于读者更全面、更精准地理解司马迁的理念与思路！《史记》，二十四史之一，最初称为《太史公书》或《太史公记》、《太史记》，是西汉史学家司马迁撰写的纪传体史书，是中国历史上第一部纪传体通史，记载了上至上古传说中的黄帝时代，下至汉武帝太初四年间共3000多年的历史。太初元年（前104年），司马迁开始了《太史公书》即后来被称为《史记》的史书创作。该著作前后经历了14年，才得以完成。《史记》全书共一百三十篇，包括十二本纪（记历代帝王政绩）、三十世家（记诸侯国和汉代诸侯、勋贵兴亡）、七十列传（记重要人物的言行事迹，主要叙人臣，其中最后一篇为自序）、十表（大事年表）、八书（记各种典章制度记礼、乐、音律、历法、天文、封禅、水利、财用）。它包罗万象，而又融会贯通，脉络清晰，翔实地记录了上古时期的政治、经济、军事、文化等各个方面的发展状况。《史记》是一部优秀的文学著作，在中国文学史上有重要地位。从史学价值看，它保留了几千年的史料，具有非凡的史学价值，被列为“二十四史之首”。它开创了纪传体记事法，受历代史官、学者推崇。从文学价值看，它的描写语言生动，形象鲜明，叙理透彻，记事灵活。刘向等人认为此书“善序事理，辩而不华，质而不俚”。本版本为一百三十一篇，除原有的一百三十篇外，还将司马迁的《报任安书》也收录在内，便于读者更全面、更精准地理解司马迁的理念与思路。
哲学,理想国,柏拉图,124人点评,86.30%,2020年7月,《理想国》是柏拉图的一篇重要对话录，涉及柏拉图思想体系的各个方面，包括哲学、伦理、教育、文艺、政治等内容，最主要的是探讨理想国家的问题。对话录里柏拉图以苏格拉底之口通过与其他人对话的方式设计了一个真、善、美相统一的政体，即可以达到公正的理想国。柏拉图的理想国是人类历最早的乌托邦。在他的理想国里统治者必须是哲学家，他认为现存的政治都是坏的，人类的真正出路在于哲学家掌握政权，也只有真正的哲学家才能拯救当时城邦所处的危机。这种信念构成了柏拉图成熟的政治哲学体系的核心。在他的眼里“哲学家”有着特殊的内涵。他认为哲学家是高尚、最有学识的人，而这种贤人统治下的贤人政体就是最好是政体。所以，只有建立以哲学家为国王的国家才是最理想的国家。这个国家就是存在于天上的模范国家。
历史,虚构的犹太民族,施罗默·桑德,143人点评,86.30%,2017年3月,谁是犹太人？《圣经》为何会成为记录一个民族起源的可靠史籍？以色列人是犹太民族直系的后裔吗？本书以色列著名历史学家施罗默·桑德引发全球热议的代表作，也是一本批判性民族史，它拆解了犹太人的整套民族记忆架构，大胆地批判了人们广泛接受的叙事和历史话语，运用现代民主主义理论澄清了古老的神话。本书认为，大多数犹太人的故土遍布中东和东欧，这些分散的犹太人群体之间能形成一个犹太民族，进而成为一个犹太国家，原因只可能是因为，他们运用了被改编过的历史。以色列人的民族认同具有强烈的排他性，这种情况并不是一直存在的，而是始自19世纪下半叶，由历史学家、考古学家等发明出来的。无论是了解以色列的过去、中东的现状，还是解决争端、构想未来，本书都提供了新的可能性。“年度最勇敢著作”之一。——特里·伊格尔顿一本杰出的书……所有想了解当代中东的人都应阅读这本书。——托尼·朱特融动情与学识于一体的书籍未必能改变政治局面，但假若它们可以，本书将是其中里程碑式的著作。——埃里克·霍布斯鲍姆
文学,半小时漫画宋词2,陈磊·半小时漫画团队,1911人点评,86.30%,2020年8月,"熟读宋词三百首背后的故事，准确理解宋词的原意、深意和诗意。别光笑，有考点！内含35篇初高中必考古诗文的注释+翻译，由原中考命题组组长忍住笑亲自出马撰写！绝代才女李清照的“寻寻觅觅，冷冷清清，凄凄惨惨戚戚”抒发的不是闺愁，而是亡国之恨、丧夫之哀、孀居之苦。心爱国诗人陆游写出“心在天山，身老沧州”是因为他后半生再无机会接近战场。名将词人辛弃疾的“众里寻他千百度。蓦然回首,那人却在,灯火阑珊处。”看似是在寻找心上人，其实表现的是自己不受重用的惆怅。抛开枯燥的讲解，丢掉公式化的赏析，用幽默的方式讲述严肃的知识，让你在哈哈大笑中掌握考试的重点，并重新爱上宋词。翻开本书，了解伟大词人一生的悲欢离合，感受千古名句背后的喜怒哀乐。"
哲学,哲学100问：从古希腊到黑格尔,书杰,123人点评,86.20%,2020年1月,《哲学100问:从古希腊到黑格尔》系统阐述从古希腊到黑格尔时期的哲学史发展进程，涉及苏格拉底、柏拉图、亚里士多德、笛卡尔、休谟、卢梭、康德、黑格尔等38位哲学家的思想精髓；集中梳理古希腊哲学、中世纪哲学、近代理性主义、法国启蒙哲学和德国古典哲学等哲学流派的核心逻辑脉络。
历史,华杉讲透《资治通鉴》（共22册）,华杉,506人点评,86.20%,2022年11月,《资治通鉴》从战国写到五代十国，生动展现了16个朝代1362年历史中一个个活生生的人和故事，可以说是中国政治和文化遗产的“大数据”和“超级案例集”。我们今天遇到的问题和困惑，无论是个人的还是国家的，历史先辈们都遇到过、处理过，有经验教训。本书作者华杉用“通篇大白话”翻译整部《资治通鉴》，并尽量保留原文的韵味，让人像读小说一样拿起来就放不下。同时，本书结合历代名家观点，加上华杉本人的点评，讲透《资治通鉴》中对21世纪普通人真正有用的智慧——让人看一遍就会，看完就能用得上。
文学,看见,柴静,7万人点评,86.20%,2013年1月,柴静十年成长的个人告白，中国社会变迁的备忘。央视知性美女主持柴静首度出书，讲述十年央视生涯。从对新闻一无所知的新人，尝遍失败、迷茫、摔打的滋味，到如今成为央视最受欢迎的女记者和主持人，柴静从未停止反思和追问，柴静说：“你想如何报道一个国家，就要如何报道自己。” 《看见》告诉你柴静何以成为柴静，她经历过什么，思考着什么，又记下了什么。
文学,苏菲的世界,乔斯坦·贾德,1.8万人点评,86.20%,2007年10月,本书以小说的形式，通过一名哲学导师向一个叫苏菲的女孩传授哲学知识的经过，揭示了西方哲学发展的历程。由前苏格拉底时代到萨特，以及亚里士多德、笛卡儿、黑格尔等人的思想都通过作者生动的笔触跃然纸上，并配以当时的历史背景加以解释，引人入胜。评论家认为，对于那些从未读过哲学课程的人而言，此书是最为合适的入门书，而对于那些以往读过一些哲学而已忘得一干二净的人士，也可起到温故知新的作用。14岁的少女苏菲不断接到一些极不寻常的来信，世界像谜团一般在她眼前展开。在一位神秘导师的指引下，苏菲开始思索，她运用少女天生的悟性与后天知识，企图解开这些谜团。然而，事实真相远比她所想的更怪异、更离奇……
文学,我的骨头会唠嗑：法医真实探案手记（全两册套装·独家首发）,廖小刀   刘八百,541人点评,86.20%,2023年5月,一部法医兄弟的真实尸检手记，一幅法医视角的人性浮世绘。 20宗真实案件，悬念迭起： 车祸现场送尸疑点重重，牵出城市入海口处的“尸体黑市”，那里的“尸体”明码标价、生意火爆； 4年间3起命案，北方夏末初秋的“青纱帐”成为罪恶和恐惧的代名词； 一栋老宅，6年间陆续有8人入住其中，自第一位女租客在屋中被残忍杀害后，又接连发生2起命案，老宅成为名副其实的“凶宅”…… 20余种专业法医手段，全程高能： DNA检验鉴定技术、鲁米诺试剂、煮骨断龄、颞骨岩检验、蛹壳观察、硅藻实验、颅相复原、人皮手套……技术之下，所有的罪恶都有迹可循。 当解剖刀划开真相，尸骨之下恶念丛生。每个离奇案件的真相背后，都是一段令人唏嘘的人生。 打开这本书，在命案故事中，探寻最撕裂的人性，在惊险刺激的阅读体验之外，感受人性的复杂和生命的柔软。
文学,中国最美古诗词：你应该熟读的中国古诗+你应该熟读的中国古词+你应该熟读的中国古文（全集）,陈引驰编著,1328人点评,86.20%,2018年10月,《中国最美古诗词》套装由复旦大学中文系主任陈引驰先生主持编著，甄别、挑选历代古诗263首，古词250首，古文90篇，加以注释和赏析。阅读这些古诗词，能使我们增长见识，得到教益，也对整个中国古代诗词的流转有最直接的认识。希望本书能成为面对卷帙浩繁的古典诗词时最好的观澜平台。
哲学,美学原理,叶朗,530人点评,86.10%,2009年4月,这是一本全面、系统地讲述美学基本原理和基础知识的教科书，同时也是一本研究美学理论核心区的前沿课题的学术著作。这本书是作者将近五十年的美学研究成果的一个概括和总结。本书继承北京大学蔡元培、朱光潜、宗白华的美学传统，立足于中国文化，以“意象”和“体验”为核心，力图融会中西美学的精华，回应21世纪时代的呼唤，最后归结到提升人生境界。作者在书中注重视野的开阔，注重思想的深度和原创性，同时又注重材料的丰富和趣味性，追求文字的清晰、简洁和诗意。本书不仅适合作为大学生和文化界、艺术界、教育界朋友们的读物，同时也适合作为各行各业对美学有兴趣的朋友们的读物。读这本书可以获得理论的提升，人生的启示，同时又可以获得情趣的熏陶，审美的享受。
哲学,西方美学史,朱光潜,61人点评,86.10%,2021年11月,朱光潜先生的《西方美学史》。是中国学者撰写的第一部系统阐述西方美学思想发展的专著，梳理了从古希腊罗马、中世纪、文艺复兴，到现代欧美，包括苏俄的美学思想。全书结构清晰，融会贯通，深湛的西学修养中透出东方的灵性。这部著作对我国的美学研究具有开创性意义，也是深受欢迎的高校人文通识教材。
哲学,西方哲学十五讲,张志伟,1271人点评,86.10%,2004年3月,有两种事物，征服了整个精神的历史，我们愈是思索，就愈难以抑制赞叹和敬畏头上的星空和心灵的法则，从很早以前，到很久以后，这种爱将牢固地支配着一类智慧，就是哲学。本书系的内容设计充分照顾到社会上一般青年读者的阅读选择，适合自学；同时又能满足大学通识课教学的需要。每一种书都有一定的知识系统，有相对独立的学科范围和专业性，但又不同于专业教科书，不是专业课的压缩或简化。重要的是能适合本专业之外的一般大学生和读者，深入浅出地传授相关学科的知识，扩展学术的胸襟和眼光，进而增进学生的人格素养。本书系每一种选题都在努力做到入乎其内，出乎其外，把学问真正做活了，并能加以普及，因此对这套书作者的要求很高。
历史,王阳明（全集）,王程强,4917人点评,86.10%,2016年9月,明代大智者王阳明的一生，是追求人生大智慧的一生，是成功运用人生大智慧的一生，是学做圣贤的一生，是成就圣贤的一生，是立德、立功、立言的一生。长篇历史传记小说《王阳明》全书约108万字，分《学做圣贤》、《龙场悟道》和《我心良知》三部，从王阳明在浙江余姚出生写起，以其五十八岁在江西大余青龙铺逝世为终。全书依据王阳明亲传弟子钱德洪等人编排的王阳明年谱，依照《王阳明全集》所提供的诗赋、奏疏、文章等资料，参照多种史籍以及各种研究资料，结合作者的儒学和佛学修行实践，以求学人生大智慧和运用人生大智慧为核心，力图描述作为思想家、军事家、政治家和诗人的王阳明的一生。
哲学,次第花开（2017修订新版）,希阿荣博堪布,9933人点评,85.90%,2017年9月,《次第花开》是希阿荣博堪布所写的心灵随笔集，以现代人的思维和表达方式，将心灵世界应有的美好境界娓娓道来。本书就像是一个忠实的朋友，在迷茫脆弱的时候，给我们以鼓励和启发，让我们生起对三宝和佛法的信心以及求解脱的决心。书中处处散发着慈悲与智慧的光芒，堪布睿智柔和的文字，朴实生动的开示，帮助我们坦然地面对心的本性，并从各种困惑中解脱出来，获得重塑心灵世界的力量。
历史,增广贤文（国学大书院）,佚名,5939人点评,85.90%,2018年9月,《增广贤文》内容广泛，从礼仪道德到典章制度，从天文地理到人生哲学，几乎囊括中国文化的精髓；作为传统的蒙学读物，它长句和短句交错排列，灵活多变，形式多样，读来朗朗上口，让人记忆犹新；它又是一本格言集，融汇了诸子百家、历代文人的名言警句，句句闪耀着中国人思想智慧的光芒！
文学,我在北京送快递,胡安焉,1.2万人点评,85.90%,2023年3月,进入社会工作至今的十年间，胡安焉走南闯北，辗转于广东、广西、云南、上海、北京等地，做过快递员、夜班拣货工人、便利店店员、保安、自行车店销售、服装店导购、加油站加油工……他将日常的点滴和工作的甘苦化作真诚的自述，记录了一个平凡人在生活中的辛劳、私心、温情、正气。 在物流公司夜间拣货的一年，给他留下了深刻的生理印记：“这份工作还会令人脾气变坏，因为长期熬夜以及过度劳累，人的情绪控制力会明显下降……我已经感到脑子不好使了，主要是反应变得迟钝，记忆力开始衰退。”在北京送快递的两年，他“把自己看作一个时薪30元的送货机器，一旦达不到额定产出值就恼羞成怒、气急败坏”…… 但他最终认识到，怀着怨恨的人生是不值得过的。这些在事后追忆中写成的工作经历，渗透着他看待生活和世界的态度与反思，旨在表达个人在有限的选择和局促的现实中，对生活意义的直面和肯定：生活中许多平凡隽永的时刻，要比现实困扰的方方面面对人生更具有决定意义。
文学,炸裂志,陈年喜,146人点评,85.90%,2023年10月,《炸裂志》是陈年喜的诗歌代表作，也是他作为“矿工诗人”ZUI重要的作品，收录了他153首诗歌，从动荡的矿山生活，到北京皮村的城市求生，内容涵盖了他艰难的爆破工生活，也有他融合了人文意象和历史缅怀感的日常思索，开阔苍凉，眷顾悲悯，呈现了一个ZUI贴近土地的人，用饱经风霜的笔写出的诗，即使被命运各种推搡，也没放弃。“我在五千米深处打发中年/我把岩层一次次炸裂/借此/把一生重新组合”，一字一句砸下来的重量，蕴含万钧之力。
哲学,查拉图斯特拉如是说,尼采,1179人点评,85.80%,2020年1月,当善与恶的界限日益模糊，当一切坚固的东西都烟消云散，当生命之轻已变得不能承受，我们该从哪里求得生存的意义？是重造崇拜偶像？还是干脆沦于虚无，一路娱乐至死？在人类刚刚步入现代世界时，德国哲人尼采就严肃地思考上述问题——而一切答案，都汇聚到《查拉图斯特拉如是说》这部哲学小说中。通过主人公查拉图斯特拉的漫游与教诲，尼采发出了先知般的宣言：在“上帝已死”的时代，人应该直面虚无，从自身创造生命的意义，最终进化为能撑起生命重担的超人！
历史,中世纪：权力、信仰和现代世界的孕育,李筠,78人点评,85.80%,2023年7月,一本玩透“权力的游戏”的解答书！中国政法大学政治学学者李筠专业研究20余年的精华汇总！丛日云、刘擎、施展、刘苏里、俞敏洪诚挚推荐！中世纪不是一片黑暗，而是一个多姿多彩的时代。 中世纪是理解古今之变和中西之别的思想试炼场。 继《西方史纲》《罗马史纲》之后，李筠再次变换写作构思和手法，以20年的学术功底，精心为读者建造了一座异彩纷呈的中世纪博物馆。 走进这座新颖的博物馆，“维京人”“骑士”“女巫”“炼金术”“黑死病”迎面袭来，李筠用这些典型、有趣的中世纪话题帮读者建立起中世纪的初步印象。 而后，李筠用“帝国”“教会”“王国”“大学”“城市”五个专题展室，向读者系统地展示了中世纪诸多脉络的独特演化，精彩地呈现了人类历史上壮观的多元时代，有力地揭示了现代世界从中世纪脱胎而来的历史逻辑，同时细腻地与读者一起品味从“混乱”中寻找自我定位的历史智慧。
哲学,菜根谭,洪应明,5444人点评,85.70%,2017年5月,《菜根谭》涵盖了中国人处世哲学的方方面面，如果能读透这一本书，那么便能够帮助自己更好地处理好人际关系，能够让自己在这纷繁多变的世界里从多个方面感悟、体谅、修行，从而遇见更好的自己。
哲学,资本论（上）,马克思,23人点评,85.70%,2013年4月,《资本论1-3(套装共3卷)》是马克思倾其毕生心血写成的一部科学著作。它被奉为工人阶级革命的“圣经”，是一部融哲学、政治经济学、科学社会主义为一体，博大精深的马克思主义百科全书，是人类思想史上不配的理论丰碑。它揭示了现代社会的经济运动规律，对于我们认识资本主义经济和研究社会主义经济提供了基本原理。本册是上册。
